"Journey","Train ID","Lateness (mins)"
"19:36 from London Charing Cross to Sevenoaks (20:27)","J56775","9"
"19:37 from London Cannon Street to Dartford (20:24)","J53677","5"
"19:37 from London Victoria to Ramsgate (21:35)","J55945","5"
"19:39 from London Charing Cross to Gillingham Kent (21:03)","J56482","15"
"19:39 from London Victoria to Dartford (20:28)","J53928","7"
"19:45 from Ashford International to Ashford Down Sidings (20:08)","X05256",""
"19:45 from London Charing Cross to Hastings (21:19)","J55859","27"
"19:50 from Hastings to London Charing Cross (21:35)","J55904","13"
"19:50 from Ramsgate to Ramsgate E.M.U.D. (20:11)","X05300",""
"19:51 from Dartford to London Charing Cross (20:37)","J56052","9"
"19:53 from London Charing Cross to Gravesend (20:53)","J56617","30"
"19:54 from Gillingham Kent to London Charing Cross (21:15)","J55988","6"
"19:58 from Dover Priory to London Charing Cross (21:52)","J56895","7"
"20:00 from London Charing Cross to Tunbridge Wells (20:58)","J56239","25"
"20:01 from Gravesend to London Charing Cross (21:01)","J56125","6"
"20:03 from Orpington to London Cannon Street (20:38)","J56215","13"
"20:04 from Strood to Tonbridge (20:55)","J53903","7"
"20:06 from London Charing Cross to Sevenoaks (20:57)","J56777","8"
"20:07 from Ramsgate to Ramsgate E.M.U.D. (20:25)","X05264",""
"20:08 from Ramsgate to Ramsgate E.M.U.D. (20:30)","X05347",""
"20:12 from St. Pancras International to Margate (21:39)","J53388","6"
"20:15 from London Charing Cross to Hastings (21:59)","J55861","37"
"20:21 from Dartford to London Charing Cross (21:07)","J56054","7"
"20:21 from Tunbridge Wells to London Charing Cross (21:19)","J56283","16"
"20:22 from London Victoria to Ashford International (21:51)","J53799","5"
"20:23 from London Charing Cross to Gravesend (21:23)","J56618","9"
"20:32 from London Charing Cross to Hayes Kent (21:14)","J56820","12"
"20:34 from Sevenoaks to London Charing Cross (21:24)","J56218","7"
"20:36 from Hastings to St. Leonards W.M. C.S.D. (20:54)","J56935",""
"20:40 from London Charing Cross to Dover Priory (22:33)","J56709","19"
"20:45 from London Charing Cross to Hastings (22:28)","J55863","16"
"20:47 from London Charing Cross to Hayes Kent (21:33)","J56822","10"
"20:50 from London Cannon Street to Orpington (21:24)","J56780","9"
"20:52 from London Victoria to Ashford International (22:21)","J53800","8"
"20:55 from London Victoria to Orpington (21:34)","J56530","6"
"21:04 from Sevenoaks to London Charing Cross (21:54)","J56220","7"
"21:04 from Tonbridge to Strood (21:56)","J53906","8"
"21:06 from Hastings to Tonbridge Jubilee Sidings (22:15)","X05467",""
"21:07 from London Victoria to Dover Priory (23:06)","J55948","5"
"21:07 from Ramsgate to Ramsgate E.M.U.D. (21:25)","X05266",""
"21:10 from London Charing Cross to Ramsgate (23:18)","J56710","10"
"21:12 from Ramsgate to Ramsgate New Sidings (21:27)","X05386",""
"21:30 from London Charing Cross to Tunbridge Wells (22:28)","J56245","15"
"21:32 from Ashford International to London Victoria (23:08)","J53477","6"
"21:36 from London Charing Cross to Sevenoaks (22:27)","J56783","5"
"21:40 from Orpington to London Victoria (22:19)","J56107","5"
"21:45 from London Charing Cross to Hastings (23:29)","J55866","5"
"21:50 from Hastings to London Charing Cross (23:35)","J55910","11"
"21:52 from London Victoria to Ashford International (23:21)","X05449","5"
"21:53 from London Charing Cross to Gravesend (22:53)","J56621","10"
"21:58 from Dover Priory to Tonbridge (23:08)","J53989","15"
"22:00 from London Charing Cross to Tunbridge Wells (22:58)","J56247","8"
"22:02 from Hayes Kent to London Charing Cross (22:43)","J56402","5"
"22:12 from St. Pancras International to Margate (23:39)","J53394","12"
"22:16 from Ramsgate to Tonbridge (23:39)","J53990","5"
"22:25 from Ramsgate to Ashford Down Sidings (23:22)","X05470",""
"22:29 from Ramsgate to Ramsgate E.M.U.D. (22:51)","X05337",""
"22:35 from Hastings to St. Leonards W.M. C.S.D. (23:00)","X05468",""
"22:35 from Tunbridge Wells to Tonbridge Jubilee Sidings (22:45)","J54022",""
"22:36 from London Charing Cross to Sevenoaks (23:27)","J56787","7"
"22:55 from London Victoria to Orpington (23:34)","J56554","5"
"23:32 from Ramsgate to Ramsgate E.M.U.D. (23:50)","J54062",""
"23:44 from Tonbridge to Tonbridge Down Main Siding (23:35)","J57044",""

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
