"Journey","Train ID","Lateness (mins)"
"20:07 from Romsey to Salisbury (21:15)","Q07830","31"
"20:08 from Bournemouth to Bournemouth T.R.S.M.D (20:24)","Q06365",""
"20:09 from London Waterloo Main to Portsmouth Harbour (22:18)","Q07271","6"
"20:10 from Shepperton to London Waterloo Main (21:04)","Q07942","11"
"20:20 from London Waterloo Main to Woking (21:08)","Q07556","5"
"20:24 from Basingstoke to London Waterloo Main (21:34)","Q06315","6"
"20:34 from Dorking to London Waterloo Main (21:25)","Q06510","5"
"20:38 from Chessington South to London Waterloo Main (21:15)","Q06459","6"
"20:46 from Salisbury to Salisbury (20:30)","Q07873",""
"20:52 from Bournemouth Middle Sdg to Southampton Central (21:22)","Q23373","46"
"20:53 from London Waterloo Main to Alton (22:12)","Q23244","5"
"20:56 from Salisbury to Chandlers Ford (21:55)","Q07869",""
"20:57 from Eastleigh Works - Alstom to Eastleigh Works - Alstom (02:26)","W33032","5"
"21:05 from London Waterloo Main to Poole (23:29)","Q24805","21"
"21:12 from London Waterloo Main to Shepperton (22:03)","Q07392","9"
"21:17 from London Waterloo Main to Clapham Yard Sidings (21:45)","Q23450",""
"21:21 from Salisbury to Salisbury TR.S.M.D (21:34)","Q07891",""
"21:23 from Ascot to Guildford (22:25)","Q06248","5"
"21:24 from London Waterloo Main to Epsom (21:57)","Q06929","9"
"21:27 from Bournemouth Middle Sdg to Basingstoke Bartn Ml C.S.D (22:52)","Q23374",""
"21:35 from London Waterloo Main to Weymouth (00:22)","Q24663","17"
"21:38 from Portsmouth  Southsea to Southampton Central (22:38)","Q07683","14"
"21:39 from London Waterloo Main to Southampton Central (23:17)","Q23292","25"
"21:43 from London Waterloo Main to Clapham Yard Sidings (22:11)","Q06883",""
"21:50 from London Waterloo Main to Reading Platforms 4A4B (23:10)","Q07325","5"
"21:53 from London Waterloo Main to Alton (23:12)","Q23246","6"
"21:55 from London Waterloo Main to Clapham Yard Sidings (22:25)","Q23464",""
"21:56 from Salisbury to Chandlers Ford (22:55)","Q07870",""
"22:03 from London Waterloo Main to Guildford (23:02)","Q07011","5"
"22:08 from London Waterloo Main to Wimbledon Park Depot Sidings (22:34)","Q24817",""
"22:10 from Shepperton to London Waterloo Main (23:04)","Q07946","8"
"22:10 from Woking to Guildford (22:18)","Q08229","9"
"22:14 from London Waterloo Main to Clapham Yard Sidings (22:41)","Q24727",""
"22:30 from Guildford to Aldershot (22:47)","Q06611",""
"22:40 from Shepperton to London Waterloo Main (23:35)","Q23311","8"
"22:44 from Southampton Central to Portsmouth  Southsea (23:40)","Q07976","19"
"22:54 from Aldershot to Farnham C.S.D. (23:09)","Q23411",""
"23:12 from Brockenhurst to Bournemouth T.R.S.M.D (23:50)","Q06396",""

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
