"Journey","Train ID","Lateness (mins)"
"11:14 from Littlehampton to London Victoria C (12:57)","X08096","5"
"11:20 from London Victoria C to Brighton (12:16)","X07762","13"
"11:23 from London Victoria C to East Grinstead (12:18)","X09073","8"
"11:28 from Brighton to London Victoria C (12:24)","X07769","6"
"11:29 from Portsmouth Harbour to Brighton (12:48)","X09167","13"
"11:32 from Horsham to Bognor Regis (12:17)","X08319","13"
"11:47 from London Victoria C to Ore (13:49)","X07958","9"
"11:55 from Eastbourne to London Victoria C (13:27)","X07965","27"
"12:02 from Horsham to Bognor Regis (12:44)","X08305","13"
"12:06 from Bognor Regis to Littlehampton (12:23)","X09230","6"
"12:06 from London Victoria C to Portsmouth Harbour (14:03)","X07837","9"
"12:09 from London Victoria C to Reigate (12:43)","X08227","8"
"12:10 from Littlehampton to Bognor Regis (12:29)","X09231","12"
"12:12 from Eastbourne to Ashford International (13:18)","X06941","22"
"12:13 from Southampton Central to Horsham (13:45)","X07867","6"
"12:14 from Littlehampton to London Victoria C (13:57)","X08100","8"
"12:20 from London Victoria C to Brighton (13:16)","X07770","11"
"12:25 from London Bridge C to Beckenham Junction C (13:01)","X09899","6"
"12:28 from Brighton to London Victoria C (13:24)","X07777","21"
"12:30 from Bognor Regis to London Victoria C (14:10)","X07863","7"
"12:32 from Horsham to Bognor Regis (13:17)","X08320","6"
"12:32 from Southampton Central to Brighton (14:18)","X08169","13"
"12:39 from Bognor Regis to Barnham (12:45)","X08874","7"
"12:39 from London Victoria C to Tonbridge (13:39)","X08271","6"
"12:47 from London Victoria C to Ore (14:49)","X07962","9"
"12:50 from London Victoria C to Brighton (13:46)","X07774","9"
"12:52 from Barnham to Bognor Regis (12:59)","X08873","11"
"12:56 from Bognor Regis to London Victoria C (14:40)","X07866","11"
"12:58 from Brighton to London Victoria C (13:54)","X07781","33"
"13:02 from Horsham to Bognor Regis (13:44)","X08306","13"
"13:04 from Epsom to London Victoria C (13:59)","X09325","53"
"13:06 from Bognor Regis to Littlehampton (13:23)","X09233","6"
"13:07 from East Grinstead to London Victoria C (14:04)","X09080","5"
"13:08 from London Bridge C to Uckfield (14:21)","X07920","5"
