"Journey","Train ID","Lateness (mins)"
"14:09 from London Victoria C to Reigate (14:43)","X27344","9"
"14:10 from Littlehampton to Bognor Regis (14:29)","X29311","13"
"14:13 from Southampton Central to Horsham (15:45)","X26726","5"
"14:17 from London Victoria C to Littlehampton (15:53)","X27105","7"
"14:26 from Southampton Central to Brighton (16:18)","X27435","9"
"14:28 from Brighton to London Victoria C (15:24)","X26553","6"
"14:30 from Bognor Regis to London Victoria C (16:10)","X31464","18"
"14:36 from Haywards Heath to Littlehampton (15:29)","X27103","6"
"14:36 from London Victoria C to Southampton Central (17:01)","X27191","21"
"14:39 from Bognor Regis to Barnham (14:45)","X28617","7"
"14:39 from London Victoria C to Tonbridge (15:39)","X27487","9"
"14:43 from Chichester to Horsham (15:18)","X31513","17"
"14:51 from Littlehampton to Haywards Heath (15:39)","X27125","9"
"15:00 from Chichester to Brighton (15:48)","X29157","13"
"15:06 from London Victoria C to Chichester (16:33)","X31525","7"
"15:10 from Littlehampton to Bognor Regis (15:29)","X29319","5"
"15:13 from Southampton Central to Horsham (16:45)","X26732","17"
"15:13 from West Worthing to Brighton (15:42)","X28129","6"
"15:14 from Littlehampton to London Victoria C (16:57)","X27131","12"
"15:27 from London Bridge C to Horsham (16:42)","X27650","14"
"15:32 from Horsham to Bognor Regis (16:17)","X27536","16"
"15:36 from London Victoria C to Southampton Central (18:01)","X27196","16"
"15:38 from West Worthing to Brighton (16:07)","X28137","10"
"15:39 from London Victoria C to Tonbridge (16:39)","X27489","13"
"15:50 from London Victoria C to Brighton (16:46)","X26561","9"
"15:56 from Bognor Regis to London Victoria C (17:40)","X26730","31"
"16:06 from London Victoria C to Chichester (17:33)","X31526","9"
"16:09 from London Victoria C to Reigate (16:43)","X27346","8"
"16:13 from Southampton Central to Horsham (17:45)","X26738","6"
"16:14 from Littlehampton to London Victoria C (17:57)","X27136","8"
"16:17 from London Victoria C to Littlehampton (17:56)","X27117","5"
"16:20 from London Victoria C to Brighton (17:16)","X26566","9"
"16:25 from London Bridge C to Beckenham Junction C (17:01)","X28737","8"
"16:27 from London Bridge C to Horsham (17:42)","X27662","5"
"16:30 from Bognor Regis to London Victoria C (18:10)","X31466","22"
"16:32 from Horsham to Bognor Regis (17:17)","X27537","10"
"16:33 from Brighton to Southampton Central (18:27)","X27444","5"
"16:35 from Epsom Downs to London Victoria C (17:28)","X29621","5"
