"Journey","Train ID","Lateness (mins)"
"18:06 from Canterbury West to London Victoria (20:07)","J54899","16"
"18:10 from Ashford International to London Victoria (19:37)","J54898","7"
"18:37 from St. Pancras International to Gravesend (21:42)","J01635",""
"18:39 from Hastings to London Bridge C (20:27)","X05152","5"
"18:53 from Margate to St. Pancras International (20:21)","J54475","7"
"18:54 from Gillingham Kent to London Victoria (20:17)","J54658","7"
"18:57 from Dover Priory to London Victoria (21:11)","J54568","7"
"18:58 from Orpington to London Victoria (19:34)","J55012","5"
"19:01 from Faversham to Dover Priory (19:41)","J54601","11"
"19:06 from Canterbury West to London Victoria (21:07)","J54901","16"
"19:10 from Ashford International to London Victoria (20:37)","J54900","7"
"19:12 from St. Pancras International to Margate (20:39)","J54474","6"
"19:17 from Sevenoaks to London Victoria (20:15)","J55673","5"
"19:39 from Hayes Kent to London Victoria (20:21)","J55585","6"
"19:52 from London Victoria to Ashford International (21:21)","J55267","5"
"20:01 from London Victoria to Ramsgate (22:16)","J54531","5"
"20:06 from Canterbury West to London Victoria (22:07)","J54903","6"
"20:08 from Dartford to London Victoria (20:58)","J55482","5"
"20:10 from Ashford International to London Victoria (21:37)","J54902","5"
"20:12 from St. Pancras International to Margate (21:39)","J54476","8"
"20:22 from London Victoria to Ashford International (21:51)","J55268","7"
"20:23 from London Bridge C to Hastings (22:19)","J54805","8"
"20:24 from London Blackfriars to Gravesend (21:23)","J54736","7"
"20:28 from Orpington to London Victoria (21:04)","J55031","11"
"20:31 from London Victoria to Ramsgate (22:42)","X05119","5"
"20:37 from St. Pancras International to Ramsgate (22:19)","X05107","5"
"20:39 from Hayes Kent to London Victoria (21:21)","J55589","5"
"20:52 from London Victoria to Ashford International (22:21)","J55269","8"
"20:53 from London Bridge C to Hastings (22:49)","J54807","24"
"20:53 from Margate to St. Pancras International (22:21)","J54481","6"
"20:55 from St. Pancras International to Faversham (22:00)","J54397","7"
"21:01 from Faversham to Dover Priory (21:41)","J54605","5"
"21:01 from London Victoria to Ramsgate (23:18)","J54533","11"
"21:04 from Strood to Tonbridge (21:55)","J55412","14"
"21:08 from Dartford to London Victoria (21:58)","J55486","5"
"21:09 from Hastings to London Bridge C (22:57)","X05162","38"
"21:10 from Ashford International to London Victoria (22:37)","J54904","8"
"21:12 from London Victoria to Orpington (21:49)","J55222","15"
"21:16 from Ramsgate to London Victoria (23:25)","J54377","6"
"21:21 from Sheerness-on-Sea to Sittingbourne (21:38)","J55075","7"
"21:22 from Tonbridge to Ashford International (21:57)","J55345","5"
"21:24 from Ashford International to Tonbridge (22:00)","J55531","21"
"21:25 from Sittingbourne to Sheerness-on-Sea (21:44)","J55076","5"
"21:26 from Faversham to St. Pancras International (22:36)","J54402","7"
"21:28 from London Victoria to Sevenoaks (22:22)","J55632","17"
"21:28 from Orpington to London Victoria (22:04)","J55043","6"
"21:32 from Ashford International to London Victoria (23:08)","J54905","5"
"21:42 from London Victoria to Orpington (22:19)","J55224","8"
"21:52 from London Victoria to Ashford International (23:21)","X05448","8"
"21:52 from Tonbridge to Ashford International (22:27)","J55346","9"
"21:53 from Margate to St. Pancras International (23:21)","J54484","8"
